A000319,B000014,B000044,B000110,B000634,B000670,B000749,B000753,B000769,B000827,B000844,B000939,B000992,B001125,B001159,C000253,C000277,C000360,C000414,C000425,C000463,C000875,C000888,C000963,C000973,C000988,C001008,D000112,D000347,D000372,D000559,F000011,F000200,F000310,F000398,G000023,G000032,G000060,G000323,G000491,G000520,H000457,H000554,H000645,J000030,J000124,J000193,J000196,J000257,K000023,K000129,K000132,L000004,L000165,L000343,L000393,L000444,M000200,M000205,M000229,M000397,M000547,M001129,N000040,N000069,N000114,O000050,O000073,O000140,O000153,P000014,P000156,P000217,P000223,P000232,P000238,P000372,P000403,P000420,R000086,R000118,R000221,R000430,S000038,S000337,S000371,S000415,S000530,S000551,S000577,S000589,S000629,S000644,S000863,S000968,S001080,S001094,T000098,T000131,T000160,T000241,T000274,T000330,W000164,W000198,W000232,W000312,W000521,W000743,date,isAmendment,requires,result,title,billTitle,committee,officialTitle,sponsor
,Nay,,Nay,Nay,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,,Nay,Not Voting,Not Voting,,Yea,Not Voting,,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,,Not Voting,Yea,,Nay,,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Yea,Not Voting,Not Voting,Yea,Nay,,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,,,Yea,Not Voting,Nay,,Not Voting,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,,,,Not Voting,Not Voting,Nay,Yea,Not Voting,,Yea,Yea,Yea,1912-08-07,0,,unknown,hr18985,,,,
,Nay,,Yea,Nay,Yea,Not Voting,,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Yea,,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,,Nay,Not Voting,Not Voting,,Nay,Not Voting,,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,,Nay,Nay,,Nay,,Nay,Nay,Nay,Not Voting,Not Voting,Yea,,Nay,Nay,,Yea,Not Voting,Not Voting,Yea,Nay,,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Nay,,Not Voting,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,,,Nay,Not Voting,Nay,Not Voting,Not Voting,,Yea,Nay,Yea,1912-08-07,0,,unknown,hr24023,,,,
,Yea,,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Not Voting,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Yea,Not Voting,,Nay,Not Voting,,Nay,Yea,,Yea,,Nay,Yea,Yea,Not Voting,Not Voting,Nay,,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,,,Yea,Yea,Yea,,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,,,Nay,Not Voting,Yea,Not Voting,Not Voting,,Nay,Yea,Nay,1912-08-07,0,,unknown,hr21969,,,,
,Nay,,Nay,Not Voting,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,,Nay,Not Voting,Nay,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Nay,Not Voting,,Not Voting,Not Voting,,Nay,Yea,,Yea,,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Yea,,Not Voting,Nay,Nay,Not Voting,Nay,,Yea,Yea,Yea,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,,Nay,Yea,Not Voting,,Nay,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,,Yea,Yea,Yea,Not Voting,Not Voting,,Yea,Nay,Nay,1912-08-08,0,,unknown,hr21969,,,,
,Yea,,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,,Yea,Not Voting,Yea,,Nay,Not Voting,,Yea,Not Voting,,Not Voting,Nay,Not Voting,,Yea,Not Voting,,Yea,Yea,,Yea,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,,Nay,Yea,Yea,Yea,Nay,,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,Nay,Yea,Not Voting,Nay,Not Voting,Yea,,,Nay,Yea,Not Voting,,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,,Yea,Yea,Yea,Yea,Not Voting,,Yea,Yea,Yea,1912-08-08,0,,unknown,hr21969,,,,
,Yea,,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Yea,Nay,Yea,Not Voting,,Nay,Not Voting,Nay,,Nay,Not Voting,,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Nay,Not Voting,,Yea,Nay,,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Yea,Nay,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,,Yea,Yea,Yea,Nay,Not Voting,,Nay,Yea,Yea,1912-08-09,0,,unknown,hr21969,,,,
,Nay,,Nay,Yea,Yea,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Yea,Nay,Nay,Yea,Not Voting,,Nay,Not Voting,Nay,,Nay,Not Voting,,Nay,Not Voting,,Not Voting,Nay,Not Voting,,Nay,Not Voting,,Nay,Nay,,Nay,,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,,,Nay,Nay,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,,,Nay,Yea,Nay,Nay,Not Voting,,Not Voting,Nay,Nay,1912-08-09,0,,unknown,hr21969,,,,
,Yea,,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Not Voting,Nay,,Yea,Not Voting,,Not Voting,Not Voting,,Not Voting,Yea,Not Voting,,Nay,Not Voting,,Yea,Nay,,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,,Nay,Not Voting,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,,Yea,Yea,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,,,Nay,Nay,Yea,Nay,Not Voting,,Nay,Nay,Nay,1912-08-09,0,,unknown,hr21969,,,,
,Nay,,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,Nay,Not Voting,Nay,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Nay,Not Voting,,Yea,Not Voting,,Nay,Yea,,Yea,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,Yea,Nay,Not Voting,Yea,Not Voting,Nay,,,Nay,Yea,Not Voting,,Not Voting,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,,Yea,Yea,Yea,Yea,Not Voting,,Nay,Nay,Yea,1912-08-09,0,,unknown,hr21969,,,,
,Yea,,Nay,Not Voting,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Nay,Not Voting,,Yea,Nay,,Yea,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Nay,Nay,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,,Yea,Not Voting,Yea,Nay,Not Voting,,Nay,Yea,Yea,1912-08-09,0,,unknown,hr21969,,,,
,Nay,,Nay,Yea,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Nay,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,,Nay,Not Voting,,Not Voting,Nay,Not Voting,,Yea,Not Voting,,Nay,Nay,,Nay,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Not Voting,,Not Voting,Yea,Nay,Nay,Nay,,Nay,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Not Voting,,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,,,Yea,Not Voting,Nay,Yea,Not Voting,,Yea,Nay,Yea,1912-08-09,0,,unknown,hr21969,,,,
,Yea,,Nay,Nay,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Nay,,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,,Yea,Not Voting,,Not Voting,Yea,Not Voting,,Nay,Not Voting,,Yea,Yea,,Yea,,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Nay,Yea,Yea,Yea,Yea,,Yea,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,,Nay,Yea,Not Voting,,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,,Yea,Not Voting,Yea,Yea,Not Voting,,Nay,Yea,Nay,1912-08-09,0,,unknown,hr21969,,,,
,Yea,,Nay,Yea,Yea,Yea,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,Not Voting,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Yea,,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,,Yea,Yea,,Nay,Not Voting,Yea,Yea,Not Voting,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,,,Not Voting,Yea,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,,,,Yea,Not Voting,Yea,Not Voting,Not Voting,,Nay,Not Voting,Yea,1912-08-09,0,,unknown,hr21969,,,,
,Yea,,Not Voting,Yea,Yea,Yea,,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,,Yea,Nay,,Not Voting,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Yea,Yea,,Not Voting,Yea,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,,,Not Voting,Yea,Not Voting,,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Nay,Yea,,,,Yea,Yea,Yea,Not Voting,Not Voting,,Nay,Not Voting,Yea,1912-08-10,0,,unknown,s3,,,,
,Nay,,Not Voting,Yea,Yea,Not Voting,,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Yea,Yea,,Yea,Not Voting,Not Voting,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Yea,,Not Voting,Nay,,Yea,Nay,,Yea,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Nay,,Not Voting,Yea,Nay,Yea,Nay,,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Not Voting,,,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,,Yea,Nay,Nay,,Not Voting,,Not Voting,Yea,Not Voting,Nay,Yea,Nay,,,,Yea,Yea,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Yea,1912-08-10,0,,unknown,s3,,,,
,Nay,,Nay,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Yea,Nay,,Yea,Not Voting,Not Voting,,Nay,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,,Not Voting,Yea,,Yea,,Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,,Nay,Nay,,Yea,Nay,Nay,Yea,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Nay,,Not Voting,,Not Voting,Yea,Not Voting,Nay,Yea,Nay,,,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,Yea,1912-08-12,0,,unknown,hr21279,,,,
,Yea,,Not Voting,Nay,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,,Yea,Not Voting,Not Voting,,Yea,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Yea,,Not Voting,Yea,,Not Voting,Yea,,Yea,,Nay,Not Voting,Nay,Not Voting,Yea,Yea,,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,Nay,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Yea,Yea,,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,,Not Voting,Nay,Yea,Not Voting,Not Voting,,Not Voting,Nay,Yea,1912-08-13,0,,unknown,hr21279,,,,
,Nay,,Not Voting,Nay,Yea,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,,Nay,Nay,,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,,Yea,Not Voting,,Yea,Nay,Nay,Nay,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,,Yea,Nay,Nay,,Yea,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,,Not Voting,Yea,Nay,Nay,Not Voting,,Not Voting,Nay,Yea,1912-08-13,0,,unknown,hr21279,,,,
,Yea,,Not Voting,Nay,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,,Nay,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,,Yea,Yea,,Nay,,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,,Yea,Not Voting,,Nay,Yea,Nay,Yea,Nay,,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Not Voting,Yea,Not Voting,Yea,,,Yea,Yea,Nay,,Yea,,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,,,,Not Voting,Nay,Nay,Yea,Not Voting,,Not Voting,Yea,Nay,1912-08-13,0,,unknown,hr21279,,,,
,Yea,,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,Nay,Nay,,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Nay,,Nay,,Nay,Not Voting,Yea,Not Voting,Yea,Nay,,Yea,Not Voting,,Not Voting,Nay,Yea,Nay,Yea,,Yea,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Yea,,Not Voting,,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,,,,Not Voting,Yea,Nay,Nay,Not Voting,,Not Voting,Yea,Not Voting,1912-08-13,0,,unknown,hr21279,,,,
,Yea,,Not Voting,Nay,Nay,Yea,,Yea,Not Voting,Yea,Not Voting,Yea,Yea,Yea,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Yea,,Not Voting,Yea,,Yea,Yea,,Yea,,Nay,Not Voting,Yea,Not Voting,Yea,Yea,,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Yea,Yea,,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,,,,Not Voting,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,Nay,1912-08-13,0,,unknown,hr21279,,,,
,Yea,,Yea,Yea,Yea,Nay,,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,,Yea,Nay,,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Yea,Yea,Nay,Yea,,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Yea,,Not Voting,,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Nay,,,,Not Voting,Yea,Nay,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,1912-08-13,0,,unknown,hr21279,,,,
,Nay,,Nay,Nay,Nay,Nay,,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Nay,,Nay,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Nay,,Nay,Not Voting,Nay,,Not Voting,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Nay,,Not Voting,Nay,,Nay,Nay,,Yea,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Nay,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Nay,,,Yea,Nay,Not Voting,Nay,Not Voting,Nay,,,Nay,Nay,Nay,,Nay,,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,,,,Nay,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Nay,Not Voting,1912-08-13,0,,unknown,hr21279,,,,
,Nay,,Not Voting,Yea,Yea,Yea,,Yea,Not Voting,Nay,Not Voting,Nay,Yea,Yea,,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,,Not Voting,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Yea,,Not Voting,Nay,,Nay,Nay,,Yea,,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Nay,Not Voting,,Not Voting,Yea,Nay,Yea,Nay,,Nay,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,Nay,Nay,Not Voting,Nay,Not Voting,Yea,,,Nay,Nay,Nay,,Nay,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,,,,Yea,Nay,Yea,Not Voting,Not Voting,,Not Voting,Nay,Yea,1912-08-14,0,,unknown,hr25034,,,,
,Yea,,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,Not Voting,Nay,Yea,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,,Not Voting,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Yea,,Not Voting,Yea,,Yea,Yea,,Yea,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Yea,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Yea,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Nay,,Yea,,Not Voting,Yea,Not Voting,Nay,Not Voting,Not Voting,,,,Yea,Nay,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,1912-08-14,0,,unknown,hr25034,,,,
,Yea,,Yea,Yea,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Nay,,Nay,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Nay,,Not Voting,Yea,,Yea,Yea,,Nay,,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,,Yea,Not Voting,,Yea,Nay,Yea,Not Voting,Yea,,Yea,Nay,Nay,Not Voting,Nay,Not Voting,Nay,Not Voting,Yea,,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Yea,,Yea,,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,,,,Yea,Nay,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,1912-08-14,0,,unknown,hr25034,,,,
,Nay,,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,,Nay,Yea,Nay,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,,Yea,Not Voting,Yea,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Nay,,Yea,Nay,,Not Voting,,Yea,Not Voting,Nay,Not Voting,Yea,Yea,,Nay,Nay,,Not Voting,Yea,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Nay,,,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,,,Nay,Nay,Nay,,Nay,,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,,,,Nay,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Yea,1912-08-14,0,,unknown,hr25034,,,,
,Yea,,Not Voting,Nay,Yea,Not Voting,,Not Voting,Nay,Yea,Not Voting,Yea,Yea,Yea,,Yea,Nay,Yea,Not Voting,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,,Yea,Not Voting,Nay,,Nay,Not Voting,,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,,Yea,Yea,,Not Voting,,Nay,Not Voting,Yea,Not Voting,Nay,Nay,,Yea,Yea,,Not Voting,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,Yea,Nay,Not Voting,Not Voting,Not Voting,Nay,,,Yea,Yea,Yea,,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,,,,Yea,Nay,Nay,Nay,Not Voting,,Not Voting,Yea,Yea,1912-08-15,0,,unknown,hr16571,,,,
,Yea,,Not Voting,Yea,Nay,Not Voting,,Not Voting,Yea,Nay,Not Voting,Yea,Yea,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,,Yea,Not Voting,Yea,,Yea,Not Voting,,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Not Voting,Not Voting,,Yea,Yea,,Not Voting,,Yea,Not Voting,Yea,Not Voting,Nay,Nay,,Yea,Yea,,Not Voting,Nay,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,,,Nay,Yea,Not Voting,Not Voting,Not Voting,Nay,,,Yea,Yea,Nay,,Yea,,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,,,,Yea,Nay,Nay,Not Voting,Not Voting,,Not Voting,Yea,Yea,1912-08-15,0,,unknown,hr16571,,,,
,Yea,,Not Voting,Nay,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,Yea,Nay,Nay,,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Yea,Nay,Yea,Yea,,Nay,Not Voting,Nay,,Yea,Yea,,Nay,Not Voting,,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,,Yea,Yea,,Yea,,Yea,Yea,Yea,Not Voting,Nay,Nay,,Yea,Yea,,Not Voting,Nay,Yea,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,,,Not Voting,Yea,Not Voting,Yea,Not Voting,Nay,,,Yea,Yea,Yea,,Yea,,Yea,Nay,Not Voting,Yea,Not Voting,Yea,,,,Yea,Yea,Yea,Nay,Yea,,Not Voting,Yea,Yea,1912-08-15,0,,unknown,sjres78,,,,
